,Unnamed: 0,OBJECTID,Agency,State,Unit ID,Unit Name,Fire_Code,Incident Indentifier,Fire Name,Protection_Type,Cause,Owner,Acres,WUI,Size Class,Size_Class_Rank,Date,Month,Day,Year,MONTHST,DAYST,YEARST,Elevation,LatNAD83,LongNAD83,created_user,created_date,last_edited_user,last_edited_date,District,GlobalID,County,Dispatch Unit ID,x,y,PresBurn,FireName,Date_cData
21082,21082,21482,C&L,NV,NVSPKX,Sparks Fire Department,K94W,2017-NVSPKX-030606,I-80,,Undetermined,,521.3552811,,E,5,8/22/2017 0:00,8,22,2017,8,22,2017,4386,39.52267,-119.6923,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,9bbe1dba-c79a-4537-8b20-f61c66ea3195,Washoe,USNVSFC,268577.5553,4378242.001,NO,,
8622,8622,8884,BLM,CA,CACND,Central California District,A5VP,,TOMBSTONE,,Natural,1,2,,B,2,6/24/2004 0:00,6,24,2004,6,24,2004,8225,38.1346,-119.0857,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,2dfeb510-791d-4509-a912-e7381a435b8b,Mono,USCAOVCC,317206.6364,4222804.344,NO,,
8629,8629,8891,BLM,CA,CACND,Central California District,BYN1,,GUS,,Natural,7,3,,B,2,7/5/2005 0:00,7,5,2005,7,5,2005,6171,38.6364,-119.5658,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,c5a5d654-65ff-4779-adae-64880a836961,Mono,USNVSFC,276673.6462,4279552.096,NO,,
8632,8632,8894,BLM,CA,CACND,Central California District,B3VY,,MONITOR 2,,Human,1,62,,C,3,8/10/2005 0:00,8,10,2005,8,10,2005,5886,38.6347,-119.55,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Central California District,c8c97b9c-1b6f-437e-be4f-1ab680a95cc5,Mono,USNVSFC,278043.8288,4279325.051,NO,,
8645,8645,8907,BLM,NV,CANOD,Northern California District,Z392,CA-NOD-1426,BURRO,,Natural,1,90,,C,3,6/26/2000 0:00,6,26,2000,6,26,2000,4003,40.4866,-119.8744,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Northern California District,3d8665a7-2fc0-4ef4-81bc-26ea61f8e219,Washoe,USCASIFC,256376.3186,4485736.851,NO,,
8669,8669,8931,BLM,NV,CANOD,Northern California District,D595,,BUFFALO,,Natural,1,23,,C,3,7/13/2002 0:00,7,13,2002,7,13,2002,5942,40.8732,-119.816,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Northern California District,a70ee044-6889-4c87-ba16-c322b371262d,Washoe,USCASIFC,262702.907,4528498.863,NO,,
8686,8686,8948,BLM,NV,CANOD,Northern California District,BB1R,,BLACK HILL,,Natural,1,20,,C,3,8/14/2004 0:00,8,14,2004,8,14,2004,5614,41.5416,-119.746,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Northern California District,5ec4ba8a-181c-4468-8e24-7732d0d8e2e2,Washoe,USCASIFC,270947.2434,4602524.148,NO,,
9025,9025,9289,BLM,NV,NVCCD,Carson City District,J846,,RIVERCROSS,,Human,8,4,,B,2,2/6/2000 0:00,2,6,2000,2,6,2000,4478,39.193,-119.6588,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,c7352676-fbb9-4909-b69c-f62469da846f,Carson City,USNVSFC,270379.8511,4341562.48,NO,,
9034,9034,9298,BLM,NV,NVCCD,Carson City District,J864,,WNA 7,,Human,1,2,,B,2,5/27/2000 0:00,5,27,2000,5,27,2000,4131,39.8832,-119.6077,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,627e6eb7-7fa8-40e2-b127-4f049a332e20,Washoe,USNVSFC,277014.8866,4418048.727,NO,,
9035,9035,9299,BLM,NV,NVCCD,Carson City District,J865,,MUSTNGDUMP,,Human,1,3,,B,2,5/28/2000 0:00,5,28,2000,5,28,2000,5036,39.533,-119.6341,slevitt_nifc,10/16/2018 21:30,slevitt_nifc,10/16/2018 21:30,Carson City District,9e28de76-446c-4075-a637-86053c64dcde,Washoe,USNVSFC,273614.5209,4379240.561,NO,,
